,created_time,name,id
1,2021-09-09T06:51:17+0000,"𝙄𝙢𝙖𝙜𝙞𝙣𝙚 𝙉𝙊𝙏 𝙛𝙚𝙖𝙧𝙞𝙣𝙜 𝙖 𝙗𝙞𝙠𝙞𝙣𝙞 👙 ✖
.
.
𝐈𝐦𝐚𝐠𝐢𝐧𝐞 𝐭𝐡𝐞 𝐟𝐫𝐞𝐞𝐝𝐨𝐦 𝐨𝐟 𝐛𝐞𝐢𝐧𝐠 𝐡𝐚𝐩𝐩𝐲 𝐢𝐧 𝐲𝐨𝐮𝐫 𝐛𝐨𝐝𝐲 𝐧𝐨 𝐌𝐀𝐓𝐓𝐄𝐑 𝐖𝐇𝐄𝐍 🙋‍♀️
.
.
𝙄𝙢𝙖𝙜𝙞𝙣𝙚 𝙉𝙊𝙏 𝙙𝙞𝙚𝙩𝙞𝙣𝙜 𝙗𝙚𝙛𝙤𝙧𝙚 𝙀𝙑𝙀𝙍𝙔 𝙝𝙤𝙡𝙞𝙙𝙖𝙮 🍔🥦
.
.
It is GENUINELY THE MOST EMPOWERING FEELING ❤ 😍
.
.
OK, I know what you're going to say back.....
.
.
That's easy for you to say. 
'Sure you've nothing to feel embarrassed about' (not my words - obviously)
.
.
Would you believe all of the above actually have VERY little to do with how actually look to other people and 100 percent have to do with how you feel about yourself on the inside 🙏
.
.
𝙸 𝚑𝚊𝚟𝚎 𝚋𝚎𝚎𝚗 𝚠𝚊𝚢 𝚕𝚎𝚊𝚗𝚎𝚛.
That does not mean I was happier. 
.
.

𝐌𝐲 𝐛𝐨𝐝𝐲 𝐢𝐬 𝐚 𝐛𝐢 𝐩𝐫𝐨𝐝𝐮𝐜𝐭 𝐨𝐟 𝐦𝐲 𝐥𝐢𝐟𝐞𝐬𝐭𝐲𝐥𝐞. 
I eat very well. I train regularly. And I generally look after my body. When Summer comes I'll probably gain a little extra body fat as my social life ramps up. 
.
.
But honestly, I don't view my body how most people view there's. I don't view it for what it looks like. I view it for what it can do. 
.
.
𝐁𝐞𝐢𝐧𝐠 𝐁𝐢𝐤𝐢𝐧𝐢 𝐑𝐞𝐚𝐝𝐲 𝐢𝐬 𝐍𝐎𝐓 𝐚 𝐥𝐨𝐨𝐤 𝐛𝐮𝐭 𝐚 𝐟𝐞𝐞𝐥𝐢𝐧𝐠 ❤
.
.
If you want that feeling why not join my Girl gang? Summer is just around the corner and I want everyone to feel this way in a bikini 👙🙏
.
.
Drop a 👙 below if you're interested!

#onlinecoach #onlinefitnesscoach #bikiniready #realresults #realnutrition",213187740841037
2,2021-08-31T05:28:24+0000,"28 Day Kickstarter 

‼️I'm looking for 5 ladies who want to become strong and confident while eating the foods they enjoy‼️
.
.
Feel like you've tried everything and still see no results? Here's 3 reasons my coaching programme could work for you: 

1. I educate women on nutrition. I don't give meal plans but actually teach you the importance of nutrient dense food. I help you calculate calories and understand the foods you need to fuel your body. I'm also a big advocate of including foods you actually enjoy! 

2. Want to be able to lift your suitcase with ease when lockdown finishes? Want to perform a push up? Want to become a strong, independent female?
I focus on resistance training and encourage women to become the strongest they can be. 

3. I help women become the best versions of themselves. Confidence comes from the inside out and I help women find that sassy female that's hiding inside. 

I know sometimes people are afraid to make a long term commitment so this kickstarter may be exactly what you need to start your health and fitness journey with me. Did I also mention the incredible community that comes with it? 

When does it start?
Monday 6th September. 

Applications close: 
Friday 3rd 

If you're ready to become the strongest, most confident version of yourself - Dm Me 'Kickstart' to hear more.",207336934759451
3,2021-08-30T05:55:19+0000,,206695131490298
4,2021-08-28T10:04:22+0000,,205475774945567
5,2021-08-28T10:04:22+0000,,205475731612238
6,2021-08-01T07:53:38+0000,,187816230044855
7,2021-08-01T07:53:38+0000,,187816196711525
8,2021-08-01T07:53:38+0000,,187816156711529
9,2021-08-01T07:53:38+0000,,187816106711534
10,2021-08-01T07:53:38+0000,,187816073378204
11,2021-08-01T07:53:38+0000,,187816033378208
12,2021-07-01T06:13:39+0000,,166417232184755
13,2021-07-01T06:13:39+0000,,166417188851426
14,2021-07-01T06:13:39+0000,,166417148851430
15,2021-07-01T06:13:39+0000,,166417115518100
16,2021-07-01T06:13:39+0000,,166417062184772
17,2021-07-01T06:13:39+0000,,166417035518108
18,2021-05-11T05:30:40+0000,,133207902172355
19,2021-05-11T05:30:40+0000,,133207862172359
20,2021-05-11T05:30:40+0000,,133207835505695
21,2021-05-03T00:12:56+0000,,128188439340968
22,2021-05-03T00:12:56+0000,,128188412674304
23,2021-05-03T00:12:56+0000,,128188282674317
24,2021-05-03T00:12:56+0000,,128188259340986
0,2021-04-27T04:45:39+0000,"Snack Options ✅
.
.
A question I get so frequently and an area people tend to neglect is nutrient dense snacks 🙋‍♀️
.
.
These are some of my go to:
✅ Tinned fish - not daily 
✅ Greek yogurt/Quark/Cottage Cheese
✅ Veggies and hummus
✅ Fruit with or without nut butter
✅ Nuts and Seeds
✅ Protein/nut bars
.
.
What are your favourite snacks? 🤔
.
.",126493682843777
1,2021-03-12T00:33:05+0000,,109633777863101
2,2021-03-12T00:25:31+0000,,109630624530083
0,2021-04-27T04:45:39+0000,"Snack Options ✅
.
.
A question I get so frequently and an area people tend to neglect is nutrient dense snacks 🙋‍♀️
.
.
These are some of my go to:
✅ Tinned fish - not daily 
✅ Greek yogurt/Quark/Cottage Cheese
✅ Veggies and hummus
✅ Fruit with or without nut butter
✅ Nuts and Seeds
✅ Protein/nut bars
.
.
What are your favourite snacks? 🤔
.
.",126493682843777
1,2021-03-12T00:33:05+0000,,109633777863101
2,2021-03-12T00:25:31+0000,,109630624530083
0,2021-04-27T04:45:39+0000,"Snack Options ✅
.
.
A question I get so frequently and an area people tend to neglect is nutrient dense snacks 🙋‍♀️
.
.
These are some of my go to:
✅ Tinned fish - not daily 
✅ Greek yogurt/Quark/Cottage Cheese
✅ Veggies and hummus
✅ Fruit with or without nut butter
✅ Nuts and Seeds
✅ Protein/nut bars
.
.
What are your favourite snacks? 🤔
.
.",126493682843777
1,2021-03-12T00:33:05+0000,,109633777863101
2,2021-03-12T00:25:31+0000,,109630624530083
0,2021-04-27T04:45:39+0000,"Snack Options ✅
.
.
A question I get so frequently and an area people tend to neglect is nutrient dense snacks 🙋‍♀️
.
.
These are some of my go to:
✅ Tinned fish - not daily 
✅ Greek yogurt/Quark/Cottage Cheese
✅ Veggies and hummus
✅ Fruit with or without nut butter
✅ Nuts and Seeds
✅ Protein/nut bars
.
.
What are your favourite snacks? 🤔
.
.",126493682843777
1,2021-03-12T00:33:05+0000,,109633777863101
2,2021-03-12T00:25:31+0000,,109630624530083
0,2021-04-27T04:45:39+0000,"Snack Options ✅
.
.
A question I get so frequently and an area people tend to neglect is nutrient dense snacks 🙋‍♀️
.
.
These are some of my go to:
✅ Tinned fish - not daily 
✅ Greek yogurt/Quark/Cottage Cheese
✅ Veggies and hummus
✅ Fruit with or without nut butter
✅ Nuts and Seeds
✅ Protein/nut bars
.
.
What are your favourite snacks? 🤔
.
.",126493682843777
1,2021-03-12T00:33:05+0000,,109633777863101
2,2021-03-12T00:25:31+0000,,109630624530083
0,2021-04-27T04:45:39+0000,"Snack Options ✅
.
.
A question I get so frequently and an area people tend to neglect is nutrient dense snacks 🙋‍♀️
.
.
These are some of my go to:
✅ Tinned fish - not daily 
✅ Greek yogurt/Quark/Cottage Cheese
✅ Veggies and hummus
✅ Fruit with or without nut butter
✅ Nuts and Seeds
✅ Protein/nut bars
.
.
What are your favourite snacks? 🤔
.
.",126493682843777
1,2021-03-12T00:33:05+0000,,109633777863101
2,2021-03-12T00:25:31+0000,,109630624530083
0,2021-04-27T04:45:39+0000,"Snack Options ✅
.
.
A question I get so frequently and an area people tend to neglect is nutrient dense snacks 🙋‍♀️
.
.
These are some of my go to:
✅ Tinned fish - not daily 
✅ Greek yogurt/Quark/Cottage Cheese
✅ Veggies and hummus
✅ Fruit with or without nut butter
✅ Nuts and Seeds
✅ Protein/nut bars
.
.
What are your favourite snacks? 🤔
.
.",126493682843777
1,2021-03-12T00:33:05+0000,,109633777863101
2,2021-03-12T00:25:31+0000,,109630624530083
0,2021-04-27T04:45:39+0000,"Snack Options ✅
.
.
A question I get so frequently and an area people tend to neglect is nutrient dense snacks 🙋‍♀️
.
.
These are some of my go to:
✅ Tinned fish - not daily 
✅ Greek yogurt/Quark/Cottage Cheese
✅ Veggies and hummus
✅ Fruit with or without nut butter
✅ Nuts and Seeds
✅ Protein/nut bars
.
.
What are your favourite snacks? 🤔
.
.",126493682843777
1,2021-03-12T00:33:05+0000,,109633777863101
2,2021-03-12T00:25:31+0000,,109630624530083
