,created_time,message,id
4,2021-09-09T06:51:17+0000,"𝙄𝙢𝙖𝙜𝙞𝙣𝙚 𝙉𝙊𝙏 𝙛𝙚𝙖𝙧𝙞𝙣𝙜 𝙖 𝙗𝙞𝙠𝙞𝙣𝙞 👙 ✖
.
.
𝐈𝐦𝐚𝐠𝐢𝐧𝐞 𝐭𝐡𝐞 𝐟𝐫𝐞𝐞𝐝𝐨𝐦 𝐨𝐟 𝐛𝐞𝐢𝐧𝐠 𝐡𝐚𝐩𝐩𝐲 𝐢𝐧 𝐲𝐨𝐮𝐫 𝐛𝐨𝐝𝐲 𝐧𝐨 𝐌𝐀𝐓𝐓𝐄𝐑 𝐖𝐇𝐄𝐍 🙋‍♀️
.
.
𝙄𝙢𝙖𝙜𝙞𝙣𝙚 𝙉𝙊𝙏 𝙙𝙞𝙚𝙩𝙞𝙣𝙜 𝙗𝙚𝙛𝙤𝙧𝙚 𝙀𝙑𝙀𝙍𝙔 𝙝𝙤𝙡𝙞𝙙𝙖𝙮 🍔🥦
.
.
It is GENUINELY THE MOST EMPOWERING FEELING ❤ 😍
.
.
OK, I know what you're going to say back.....
.
.
That's easy for you to say. 
'Sure you've nothing to feel embarrassed about' (not my words - obviously)
.
.
Would you believe all of the above actually have VERY little to do with how actually look to other people and 100 percent have to do with how you feel about yourself on the inside 🙏
.
.
𝙸 𝚑𝚊𝚟𝚎 𝚋𝚎𝚎𝚗 𝚠𝚊𝚢 𝚕𝚎𝚊𝚗𝚎𝚛.
That does not mean I was happier. 
.
.

𝐌𝐲 𝐛𝐨𝐝𝐲 𝐢𝐬 𝐚 𝐛𝐢 𝐩𝐫𝐨𝐝𝐮𝐜𝐭 𝐨𝐟 𝐦𝐲 𝐥𝐢𝐟𝐞𝐬𝐭𝐲𝐥𝐞. 
I eat very well. I train regularly. And I generally look after my body. When Summer comes I'll probably gain a little extra body fat as my social life ramps up. 
.
.
But honestly, I don't view my body how most people view there's. I don't view it for what it looks like. I view it for what it can do. 
.
.
𝐁𝐞𝐢𝐧𝐠 𝐁𝐢𝐤𝐢𝐧𝐢 𝐑𝐞𝐚𝐝𝐲 𝐢𝐬 𝐍𝐎𝐓 𝐚 𝐥𝐨𝐨𝐤 𝐛𝐮𝐭 𝐚 𝐟𝐞𝐞𝐥𝐢𝐧𝐠 ❤
.
.
If you want that feeling why not join my Girl gang? Summer is just around the corner and I want everyone to feel this way in a bikini 👙🙏
.
.
Drop a 👙 below if you're interested!

#onlinecoach #onlinefitnesscoach #bikiniready #realresults #realnutrition",545505737609234_213187764174368
5,2021-09-02T06:56:40+0000,One Space left for Monday 6th. If you're interested drop 🔥 below,545505737609234_208650987961379
6,2021-08-31T05:28:24+0000,"28 Day Kickstarter 

‼️I'm looking for 5 ladies who want to become strong and confident while eating the foods they enjoy‼️
.
.
Feel like you've tried everything and still see no results? Here's 3 reasons my coaching programme could work for you: 

1. I educate women on nutrition. I don't give meal plans but actually teach you the importance of nutrient dense food. I help you calculate calories and understand the foods you need to fuel your body. I'm also a big advocate of including foods you actually enjoy! 

2. Want to be able to lift your suitcase with ease when lockdown finishes? Want to perform a push up? Want to become a strong, independent female?
I focus on resistance training and encourage women to become the strongest they can be. 

3. I help women become the best versions of themselves. Confidence comes from the inside out and I help women find that sassy female that's hiding inside. 

I know sometimes people are afraid to make a long term commitment so this kickstarter may be exactly what you need to start your health and fitness journey with me. Did I also mention the incredible community that comes with it? 

When does it start?
Monday 6th September. 

Applications close: 
Friday 3rd 

If you're ready to become the strongest, most confident version of yourself - Dm Me 'Kickstart' to hear more.",545505737609234_207336971426114
7,2021-08-30T05:55:19+0000,,545505737609234_206695284823616
8,2021-08-28T10:04:22+0000,Crossfit or body-building? 🤔,545505737609234_205475808278897
9,2021-08-18T04:21:26+0000,"I did Front Foot Elevated Split Squats today for the first time in a LONG time. I remember why. 

What's your least favourite exercise?",545505737609234_198907928935685
10,2021-08-16T09:27:13+0000,"If you're not already involved, get into this group. We go Live on Thursday about 'Why boring Works' 🥸

https://www.facebook.com/groups/2139238999669147",545505737609234_197756439050834
11,2021-08-13T01:30:43+0000,"Anyone interested in why you don't achieve results for random workouts or why the boring stuff gets you results. I will be talking about this on FB Live next week. Join my free Facebook group!

https://www.facebook.com/groups/strongandsassyfemales",545505737609234_195604925932652
12,2021-08-10T23:06:29+0000,"Favourite high protein breakfast? Minus eggs...

Go 👆",545505737609234_194233939403084
13,2021-08-01T07:53:38+0000,"‼️I'm looking for 5 ladies who want to become strong and confident while eating the foods they enjoy. I've had a few spaces become available for my 90 Day Strong and Sassy Programme in August‼️
.
.
Feel like you've tried everything and still see no results? Here's 3 reasons my coaching programme could work for you: 

1. I educate women on nutrition. I don't give meal plans but actually teach you the importance of nutrient dense food. I help you calculate calories and understand the foods you need to fuel your body. I'm also a big advocate of including foods you actually enjoy! 

2. Want to be able to lift your suitcase with ease when lockdown finishes? Want to perform a push up? Want to become a strong, independent female?
I focus on resistance training and encourage women to become the strongest they can be. 

3. I help women become the best versions of themselves. Confidence comes from the inside out and I help women find that sassy female that's hiding inside. 

These are just a few of the amazing elements to my Strong and Sassy programme, not to mention the incredible community that comes with it. 

If you're ready to become the strongest, most confident version of yourself - Comment 'Coach' to hear more.",545505737609234_187816276711517
14,2021-07-30T07:57:14+0000,Movie Suggestions? 🤔,545505737609234_186517523508059
15,2021-07-19T04:38:56+0000,"https://www.coachmcloone.com/

Finally have my website up and running - take a nosey if you're interested!",545505737609234_178816784278133
16,2021-07-16T10:00:08+0000,"If you knew Covid was coming.

What would you have done differently?
⬇️⬇️⬇️",545505737609234_176622584497553
